recinto,promedio_anual,desviacion_anual,volatilidad_promedio,share_estatal_promedio,porcentaje_extranjeros,PC1,PC2,PC3,cluster
Ex-Convento de San Francisco Huaquechula,6482.3,4935.802503663655,3043.1666666666665,0.0175213638462118,0.010721503170171,-1.1582883855168016,-0.7582478674583726,-0.2912736179293042,1
Ex-Convento de San Francisco Tecamachalco,7397.033333333334,4998.102960698902,1686.9,0.0210012216602437,0.000702984529834,-1.285022942367411,-0.8120190253067027,-0.22935529499030635,1
Ex-Convento de Santo Domingo Yanhuitlán,9044.8,6140.71117638048,1343.5666666666666,0.0388332976742564,0.0348008432100949,-1.2253593598852672,-0.43242960216333226,-0.3085698276690566,1
Ex-Convento de Teposcolula,4637.7,2119.1968737366456,808.0666666666667,0.0200721289421462,0.0394879645801438,-1.4450022601491583,-0.3737682939303055,-0.30964896996741337,1
Fuerte de Guadalupe,58460.7,32369.17509644226,8267.4,0.1671417176896824,0.0194495333332192,0.8447678666375376,-0.8304107509739319,-0.4544358350851187,2
Gran Museo de Chichén Itzá,47893.0,70943.36520774863,3321.333333333333,0.2973759250614836,0.3109501040513923,1.4886530228818515,2.5768699171230627,-1.3814799223155816,2
Jardín Etnobotánico y Museo de Medicina Tradicional y Herbolaria,14799.133333333331,7580.469723110074,2079.9,0.0612206812961195,0.076252212967426,-0.9858703044328968,-0.02233879651306416,-0.4336544684631634,1
Misión de San Francisco Javier,9830.243243243243,6496.068034696944,2011.162162162162,0.186463692603701,0.2089195230383895,-0.8661455157573017,1.4725772279261673,-0.5280621461365554,1
"Museo ""Casa Agustín Rivera""",5725.633333333333,2915.9456676662567,870.1,0.0305933688223993,0.0234966728571511,-1.4103904612380613,-0.5357839898067674,-0.2411161502384792,1
Museo Arqueológico de Ciudad Guzmán,4731.3,4047.4055900471385,614.6,0.0247624854955454,0.0555943045956361,-1.3992742845327208,-0.1924567948518638,-0.3685604053278871,1
Museo Arqueológico de Comitán,8376.0,3798.53574329681,1194.9333333333334,0.1413713391131212,0.052917064629099,-1.2038239403694992,-0.1585232074933388,-0.07524597115704786,1
Museo Arqueológico de Mazatlán,6284.25,4608.862417889803,910.0714285714286,1.0,0.1750578259708227,-0.4213736537587735,1.813872012641097,1.7407609187884965,2
Museo Arqueológico del Soconusco,6896.1,6052.553370272748,1099.2,0.1100819619447102,0.2489233044764432,-1.0355729313768285,1.86883472194578,-0.8319539139396402,1
Museo Baluarte de Santiago,18038.7,12451.100574952648,3091.333333333333,0.0811458840919476,0.039130683844549,-0.7417001217766304,-0.43123530228924767,-0.33391935662465777,1
Museo Casa Carranza,30147.63333333333,30377.50364704836,6571.066666666667,0.0058759690644035,0.0058567339172007,0.10156043456027179,-0.9694262851050597,-0.6953261854866529,1
"Museo Casa de Hidalgo ""La Francia Chiquita""",4109.466666666666,2294.508177085592,846.4333333333333,0.0111421039012902,0.0155981311443496,-1.4723070982701236,-0.6295271212317701,-0.2534548064803007,1
Museo Casa de Juárez,15417.233333333334,5584.0983199731045,2674.4333333333334,0.0662284561241225,0.1337442731834721,-0.9118274150597365,0.553972463069988,-0.6048453028965586,1
Museo Casa de Morelos,21187.533333333333,11509.908764830096,4624.733333333334,0.2226788634605047,0.0298036895910488,-0.45975492628972964,-0.48168323584227396,0.03901629560548284,1
Museo Casa del Dr. José María Luis Mora,12356.866666666669,8328.57785075531,1403.1333333333334,0.0314664512942328,0.0012354804076545,-1.158099484687354,-0.7951357245162854,-0.24813468386235082,1
Museo Ex Convento Agustino de San Pablo,12114.966666666667,5103.148382385493,1771.8,0.0331994857885801,0.0368277254855564,-1.169014930006053,-0.44089927573621446,-0.33530563333120245,1
Museo Guillermo Spratling,13330.666666666666,5017.147405842689,1694.9666666666667,0.1187281380461325,0.140498099619924,-1.0012181252142118,0.7066160277435815,-0.4633430119402048,1
"Museo Histórico Regional, Ex Cuartel de la Compañía Fija",7836.666666666667,6294.293509331226,1203.2333333333331,1.0,0.1117524457677584,-0.3862519863336507,1.1423153097785912,1.9265775992717915,2
"Museo Histórico de Acapulco, Fuerte de San Diego",59913.96666666667,32993.43972251133,7765.666666666667,0.482418398328034,0.1436999386342305,1.1992496167229094,0.7304155685778707,-0.05752351421377922,2
Museo Histórico de San Miguel de Allende,68772.23333333334,33939.99014658923,8562.466666666667,0.1866722089210783,0.0606082784379548,1.1023164003965926,-0.4206487542074221,-0.5932019530502785,2
"Museo Histórico del Oriente de Morelos ""Casa de Morelos""",10244.966666666667,5941.080399152615,1443.8333333333333,0.0466114051426075,0.0084399168372111,-1.2203885682976596,-0.7078376572575528,-0.2029880737111542,1
Museo Local Tuxteco,5863.266666666666,2618.200750098451,966.3,0.0262090064050861,0.0349634447236466,-1.3997409254880333,-0.4241809186751143,-0.2899085256527685,1
Museo Local de Antropología e Historia de Compostela,6367.3,2430.864485790161,936.5,0.2930588831632154,0.058721907244829,-1.157940728710146,0.03515552563802077,0.32237818837740273,1
Museo Local de Valle de Santiago,4518.0,4002.495563625537,626.25,0.0121585667600893,0.0163789287295263,-1.4465793376207092,-0.6109096239659789,-0.2686073631911488,1
Museo Maya de Cancún con Z. A,41137.5,33271.684693562274,3085.75,0.9691677233095338,0.4056072115871569,1.1198560020611514,4.06604208741161,0.45306929379333855,2
Museo Nacional de las Intervenciones,105547.93333333332,30840.979168378683,16446.566666666666,0.0234011819521702,0.0068951294798761,2.1251745984717245,-1.4981523536435186,-1.041757468543229,2
Museo Prehistórico de Tepexpan,23196.7,17794.692180632075,4760.2,0.0553924085257404,0.0034200266992,-0.431871905040139,-0.8901466004497968,-0.37862549611311863,1
Museo Regional Cuauhnáhuac,176407.48387096773,153154.4884206513,19111.225806451614,0.4884899692452232,0.1811008676392926,6.788146713604195,0.5946938829369636,-1.9357557623775141,0
"Museo Regional Michoacano ""Dr. Nicolás León Calderón""",17207.1,8939.37407108342,2383.4333333333334,0.1932990537254548,0.0521819481493104,-0.8021063012842844,-0.1831670394604744,-0.03682813265059372,1
Museo Regional Potosino,31224.966666666667,12520.220600908047,4315.833333333333,1.0,0.0271833756961576,0.3126155309791848,0.09714943980139572,2.0265203319351395,2
Museo Regional de Antropología e Historia de Baja California Sur,19247.43333333333,5683.603317246559,1949.4333333333332,0.4665293813021156,0.2396561965837869,-0.5052134299628931,1.9928903592143223,0.07608272176665762,1
Museo Regional de Chiapas,26155.63333333333,18887.44243193186,4396.733333333334,0.3623403234740333,0.0220972155138026,-0.130812896119471,-0.44377278342600596,0.3397697660991819,1
Museo Regional de Guadalajara,152864.33333333334,70190.6838288944,19226.466666666667,0.826421031582264,0.0766780129657452,4.701732321328482,-0.29455431200206383,0.2134331506309159,0
Museo Regional de Guanajuato Alhóndiga de Granaditas,192754.03333333333,61908.33910096627,22821.166666666668,0.5268935252391134,0.0408435897839405,5.119572817317602,-1.1517347731581244,-0.5322343143220102,0
Museo Regional de Guerrero,44163.2,29855.35532668735,5960.166666666667,0.3988534636258334,0.0052834335676158,0.5434635405930832,-0.6762853012640767,0.2991701578445442,2
Museo Regional de Historia de Aguascalientes,28311.33333333333,7210.825928748565,3758.433333333333,1.0,0.0183236395318718,0.0841612171580477,0.02473208639006527,2.128848844292412,2
Museo Regional de Historia de Colima,16626.266666666666,7122.317469288582,2826.4333333333334,1.0,0.1018869740250366,-0.09544704167188299,0.9587992357932528,1.898597829302518,2
Museo Regional de Nayarit,18996.866666666665,13019.179773764905,3677.7,0.7069411168367845,0.0219825725645983,-0.15179939703528603,-0.13510283690801134,1.326015485341878,2
"Museo Regional de Nuevo León ""Ex Obispado""",36086.566666666666,20772.744431575244,5324.766666666666,1.0,0.0364032045165467,0.6824039065683253,0.15620961173724388,1.8794141098017112,2
Museo Regional de Puebla,50546.26666666667,29133.96610302061,7055.133333333333,0.1443479940190138,0.0056080633716436,0.5098702487720339,-0.9329637333873643,-0.39039245639068765,2
Museo Regional de Querétaro,97229.66666666669,33481.11959394978,12205.6,1.0,0.0378951554566678,2.4930994431076563,-0.21684037132333023,1.4509009466819152,2
Museo Regional de Sonora,13519.766666666666,13069.533412992729,1979.6333333333332,1.0,0.0230970455604509,-0.14855887094977827,0.18618696113378141,2.1249220736387793,2
Museo Regional de Tlaxcala,21853.533333333333,8351.22558725337,2853.9333333333334,1.0,0.0218210327544287,-0.06259149739434257,0.11251537825653642,2.1391523575614184,2
"Museo Regional de Yucatán ""Palacio Cantón""",78216.8,34075.46356038568,9769.766666666666,0.8838648234938585,0.1961965545338938,2.049928761411172,1.4782457933192774,0.7081359617064196,2
Museo Regional de la Laguna,67627.0,59765.38870594261,15605.766666666666,1.0,0.0019607553196208,3.0251547450512555,-0.6021874239280873,1.3296850851262114,2
Museo Tepeapulco,13287.25,4345.910880313772,1768.642857142857,0.185334398887623,0.020785231814602,-1.0590000612821584,-0.4909299587994938,0.11705137461507423,1
Museo Virreinal de Acolman,73651.26666666666,35731.80797700764,11449.466666666667,0.1840793356225386,0.0485961318610496,1.4848497822105697,-0.6638891668276993,-0.6402916050015625,2
Museo de Actopan,17062.8,4717.907239151844,2413.4333333333334,0.2430274122719065,0.0103714904157973,-0.8963187564567084,-0.5862242390308681,0.27589850821970485,1
Museo de Arqueología Maya Fuerte de San Miguel,52238.86666666667,21575.77826099944,7030.233333333334,0.46258535081253,0.1005911307417338,0.6976238577112802,0.29480169769351167,0.18835072455354918,2
Museo de Arqueología Maya del Camino Real de Hecelchakán,3492.1,2982.228862722506,889.7,0.0312266148833626,0.0331032902837834,-1.42810079377743,-0.43021408862424926,-0.2662555262168523,1
Museo de Arqueología Subacuática Fuerte de San José El Alto,30892.966666666667,11309.717196632995,4453.266666666666,0.2766213407345492,0.030244208768123,-0.305540046258742,-0.45260412326482696,0.15393876241782237,1
"Museo de Arquitectura Maya, Baluarte de la Soledad",25113.366666666665,9350.007812953894,3729.766666666667,0.2295666935695581,0.1353741234747498,-0.44969158437663603,0.6432597783570447,-0.2719297680128854,1
Museo de Arte Religioso de Santa Mónica,32280.13793103448,18267.858981446345,4218.827586206897,0.0978005314579529,0.1079258730680978,-0.22603158982632537,0.22991935190358395,-0.6420728857008179,1
Museo de Artes y Oficios de Pátzcuaro,24305.8,13108.95431901153,3228.5666666666666,0.2500013214444491,0.1161039751828781,-0.42081602710920973,0.4850103661158483,-0.18241762272349638,1
Museo de El Carmen,61142.7,31722.574413021008,8887.266666666666,0.0142638394034154,0.0322251607032946,0.8111560355188101,-0.849578549736272,-0.9047158701230618,2
Museo de Guadalupe,64519.9,36620.62907456999,9371.533333333333,1.0,0.0233664342319191,1.832732769319437,-0.17648718775948807,1.6095416221260028,2
Museo de Las Misiones Jesuíticas,11739.266666666666,3501.3646594093743,1340.6333333333334,0.2819088732962324,0.3064331105293346,-0.8141848594019746,2.579603290481009,-0.5718421475413676,1
Museo de Murales Teotihuacanos Beatriz de la Fuente,26520.846153846152,32630.385241602413,6961.2307692307695,0.0700127840068427,0.2214150842153197,0.3854121291407205,1.3249984403714998,-1.2723837787687031,1
Museo de Oxolotán,6540.333333333333,2544.4917293871363,1098.3333333333333,1.0,0.0076805463533968,-0.593570810555357,0.05977230416514243,2.3203426154345252,2
Museo de Palmillas,1811.304347826087,1419.2960622269634,629.8260869565217,0.0067564806409607,0.0074891982717234,-1.556270735132004,-0.7050241213127976,-0.21825482539205607,1
Museo de Sitio de El Zapotal,1848.6206896551723,2021.23974356958,616.2068965517242,0.0090797225159368,0.0103711994030964,-1.5383885690931933,-0.6718378140319299,-0.22801505515138162,1
Museo de Sitio de Tres Zapotes con Zona Arqueológica,3969.3333333333335,1406.1061992887169,619.0333333333333,0.0184493861118289,0.0452552905609674,-1.4860694659663514,-0.30741065679247087,-0.3207694431214217,1
Museo de la Cultura Huasteca,14845.4,13346.054795073467,2563.833333333333,1.0,0.0281074721238004,-0.061740067354943584,0.21390721223682338,2.091665679412691,2
Museo de la Estampa Ex Convento de Santa María Magdalena,14013.4,7174.173246132074,1942.2,0.1743163340480003,0.0253424103596081,-0.969988465035249,-0.4561806701840053,0.03900535777044502,1
Museo de la Evangelización,25796.3,13074.29342232702,3307.4,0.0836019650673746,0.0196733640095672,-0.6157428696957383,-0.658516667423026,-0.29479942617118865,1
Museo de la Fotografía,21028.736842105263,14400.566846358644,2904.7894736842104,0.2857227787487978,0.0241924584403297,-0.5165639329096133,-0.42175772938297595,0.2203624530362658,1
Museo de la No Intervención Fuerte de Loreto,89207.2,47690.66892496209,13231.533333333333,0.2705561448980145,0.0275844700128838,2.209231371082526,-0.9007597433671846,-0.5441321039461958,2
Museo de la Revolución en la Frontera,59224.066666666666,35737.882778819505,8694.833333333334,1.0,0.0546067420789521,1.7002940817213619,0.18587357513058014,1.5403934401350985,2
Museo de las Culturas de Oaxaca,170765.7,69123.14979660178,17733.933333333334,0.6929761558759522,0.2451747238077279,4.804704160033041,1.362648802987853,-0.7142812036254715,0
Museo de las Pinturas Rupestres de San Ignacio,1473.8,1306.6134800341283,288.46666666666664,0.0331539025663753,0.2835527208576469,-1.3357983144409413,2.2047034643306196,-1.069230020702554,1
Museo de los Altos de Chiapas,23982.93333333333,12157.927273248892,3199.766666666667,0.3862063754681351,0.1524333970823697,-0.30587294537143445,0.9722254387857546,0.05956596662157974,1
Museo del Cuale,24795.966666666667,29052.03369162889,3346.0,0.1182231140997912,0.4348986864799248,0.14342469587831572,3.7192541427793917,-1.7624051720203229,1
Museo del Fuerte de San Juan de Ulúa,198946.7,78469.76706114931,32266.4,0.8602386898009952,0.0178344249992585,6.791845629790987,-1.4650678090776708,0.06222068417322843,0
Museo del Valle de Tehuacán,11661.142857142857,11435.162706624866,2069.25,0.0356790608915314,0.0034822609888763,-1.022051508609816,-0.7864962365658308,-0.28590830458076677,1
Museo y Centro de Documentación Histórica Ex Convento de Tepoztlán,98883.4,30520.339049501923,11803.0,0.3873949453412089,0.0582986291598657,1.91360217082716,-0.48554852130299536,-0.17174999713166605,2
"Pinacoteca del Estado ""Juan Gamboa Guzmán""",12402.6,24666.704243742737,1549.8333333333333,0.1069360186679033,0.1215363445299104,-0.5876274534507157,0.53715199027693,-0.6279981865733165,1
Sala Homenaje a Juárez,12731.2,4696.172420907962,2492.366666666667,0.0549958545834658,0.0709385865694776,-1.0510652432956729,-0.09700519259869755,-0.40299340527996796,1
Templo de Tupátaro,16782.153846153848,13546.309803466696,2661.641025641026,0.1451018635544944,0.05080030068571,-0.7120149317029,-0.23812687218338663,-0.20797979913526674,1
